,Event Code,Alpha,Beta,Delta,Theta,TBR
1622783430.577125,0,0.024746147608864226,1.2333241231238927,0.16172965307962,0.034690794681536734,0.3555191325093216
1622783430.7688437,0,0.08873718463890386,4.214355737979844,0.43515719414978754,0.11069023899006936,0.380734180035327
1622783430.9755626,0,0.16190535267954717,7.836106774171958,0.7232510511782486,0.17960516029458193,0.4362963047007924
1622783431.1672812,0,0.23133424266931998,11.151661365830453,0.9465133265211902,0.2182378524256846,0.5109865791786908
1622783431.372125,0,0.2942806982010994,14.24789343387214,1.1165851666472442,0.29064120372353064,0.490222764402851
1622783431.5648437,0,0.3463324352104517,17.657651246270856,1.2628267841289271,0.395542743575688,0.44641575488521185
1622783431.7705624,0,0.40058906411235207,21.842767236631484,1.3635679566383945,0.49012684119474625,0.4456553977616686
1622783431.9622812,0,0.4502310616328519,26.151424861228467,1.462995733438571,0.5679612733470147,0.460443802921936
1622783432.167125,0,0.49140310094158884,29.488884002595363,1.6001175317567,0.6963344313293515,0.42348737439708395
1622783432.3738437,0,0.5173988963715258,32.330460810881945,1.6909902445903455,0.8480587174215843,0.38122903693719035
1622783432.5655625,0,0.5530988643504559,36.10576783857969,1.7318498357677075,0.9582471715082326,0.37678971472204853
1622783432.7722812,0,0.5965812731813293,41.6937748345465,1.7832587840066092,1.029313848330583,0.4050637704152969
1622783432.962125,0,0.6362877680656278,47.534167199164074,1.8500155966568808,1.0799018367817514,0.44017118575168
1622783433.1688437,0,0.681808922775936,52.76454088276308,1.9562188211477298,1.14027145260272,0.4627366646979163
1622783433.3605626,0,0.7166765013966219,57.583439032844794,2.0372253385689625,1.1946286634130374,0.4820195663841659
1622783433.5672812,0,0.750654355246239,61.82347809825154,2.1298894106502093,1.2378529170775012,0.49944122799510926
1622783433.757125,0,0.8011184921928531,65.41759647715516,2.2558284699425086,1.3263767830288058,0.49320522881720585
1622783433.9648438,0,0.8536157354524311,69.87093865718344,2.4546601152608876,1.4599903137523742,0.47857124803523937
1622783434.1565626,0,0.9259647562375587,74.2824026190304,2.6595382005016868,1.6436586127140087,0.4519332788721578
1622783434.3622813,0,1.0515066688085517,78.07136359173234,2.9235150316841647,1.8235003317306782,0.42814011181251094
1622783434.553125,0,1.1955501863601714,81.74472981583818,3.1693248082237555,1.9778292622244762,0.41330529068975047
1622783434.7588437,0,1.2587849063690968,83.73362724878797,3.148904429465736,2.016454773964072,0.41525169981461674
1622783434.9505625,0,1.233064810645665,84.13413609571772,2.9902875633787724,1.9746504640695142,0.42607103194520574
1622783435.1572812,0,1.1929018725293634,83.9853456039197,2.7761988237567405,1.9722828066849123,0.42582810801400967
1622783435.362125,0,1.1742295120910027,84.03312855742307,2.7029073193698414,2.0599638569509753,0.4079349658192714
1622783435.5538437,0,1.179493336959398,84.41441328748253,2.6975469291097918,2.1403429368113627,0.3943966727745103
1622783435.7605624,0,1.2052611622266798,84.82333549286164,2.8961699445422746,2.1866390670600255,0.38791649143499524
1622783435.9522812,0,1.252064452875524,84.7369122464949,3.2579900853244927,2.3432762288707183,0.36161725707998016
1622783436.157125,0,1.3460988335320387,84.7950413793423,4.001797165346855,2.806643958892817,0.30212254429590274
1622783436.3488438,0,1.4222000549815563,85.59288035601062,4.891658231458255,3.2024859205667164,0.26727012227071395
1622783436.5555625,0,1.4780172674974368,86.68119987797898,5.663894670738991,3.3083240643184513,0.26200939869485307
1622783436.7472813,0,1.5095038621611916,86.4247946590074,6.515118065149953,3.3545163439873833,0.25763712498797253
1622783436.952125,0,1.5073767244528216,84.26265026370882,7.127104626319548,3.4029685442793003,0.24761513122230297
1622783437.1438437,0,1.5282949565643766,82.50337389065913,7.29173030926342,3.4706309439978056,0.23771866044513462
1622783437.3505626,0,1.5845715673302398,82.00672119837823,7.391885642598399,3.5539252069793097,0.2307497103127856
1622783437.5432813,0,1.6362999461022016,80.86608845587845,7.393339541604949,3.598783370130903,0.2247039628087895
1622783437.747125,0,1.6623860312244465,79.70523603627652,7.36311920712161,3.628732503633581,0.21965034886551926
1622783437.9538438,0,1.654618289583598,80.04945728519462,7.311427073371107,3.608159945530465,0.22185673166832381
1622783438.1455624,0,1.6684639570425224,79.58312229445018,7.193478168278683,3.5292407878443095,0.22549643699165178
1622783438.3522813,0,1.681960779032964,78.49130506475151,7.077929169912163,3.4079870783398696,0.23031573553672902
1622783438.543125,0,1.6244095722329515,78.28700123649386,6.898224731650292,3.332093677632186,0.23494838023919323
1622783438.7488437,0,1.5425487031702159,78.70674833300014,6.7185446042321,3.300206818904737,0.2384903512172037
1622783438.9405625,0,1.5245955331055832,79.61492456988302,6.620858212171415,3.308515792043247,0.24063637465884685
1622783439.1472812,0,1.5558501597258376,80.0055316039638,6.5668526491336285,3.3594336088739865,0.238151846170224
1622783439.337125,0,1.5733269764281954,80.02579096258324,6.601188031575563,3.3710111792746282,0.23739402424587372
1622783439.5438437,0,1.6230049240937612,80.2978098293185,6.7186458003392815,3.34149692012878,0.24030490450436762
1622783439.7355626,0,1.7453129257029976,81.75682827731565,6.966967700455747,3.4058557963146208,0.24004782693906881
1622783439.9422812,0,1.8630628707546308,83.58330853181421,7.143818338569154,3.6773656295852843,0.2272912648646263
1622783440.132125,0,1.9322946382309443,84.72432624585852,7.323613469302264,3.9578478787547713,0.21406665652979748
1622783440.3388438,0,1.8978106073015761,85.97755510353899,7.257334627067071,3.778076264429064,0.22756966531624995
1622783440.5305624,0,1.838891655766732,87.04005263854404,6.963399106661855,3.4019917292851227,0.2558502770282578
